name cp-unconnected-plain cp-fc-unconnected-plain clique-unconnected-plain mcssize generator vertices
mcs10_r005_s30.A46 196.595093 38.362564 178145 mcs10 rand 30
mcs10_r005_s30.A47 375.195648 107.072983 405369 mcs10 rand 30
mcs10_r005_s30.A48 269.805511 66.338905 718385 mcs10 rand 30
mcs10_r005_s30.A49 40.305984 7.538084 130833 mcs10 rand 30
mcs10_r005_s30.A50 230.858887 43.001022 1644709 mcs10 rand 30
mcs10_r005_s30.A51 62.418522 14.355825 187605 mcs10 rand 30
mcs10_r005_s30.A52 226.216278 68.395744 69935 mcs10 rand 30
mcs10_r005_s30.A53 199.057068 39.005730 567455 mcs10 rand 30
mcs10_r005_s30.A54 760.156860 145.327072 909375 mcs10 rand 30
mcs10_r005_s30.A55 1621.586304 432.879578 271837 mcs10 rand 30
mcs10_r005_s30.A56 64.486427 18.535467 476105 mcs10 rand 30
mcs10_r005_s30.A57 558.003052 106.309326 594578 mcs10 rand 30
mcs10_r005_s30.A58 212.835007 45.376881 135990 mcs10 rand 30
mcs10_r005_s30.A59 74.091629 23.095757 543651 mcs10 rand 30
mcs10_r005_s30.A60 247.212006 81.425072 251160 mcs10 rand 30
mcs10_r005_s30.A61 1061.972412 360.736420 128561 mcs10 rand 30
mcs10_r005_s30.A62 670.688232 155.840866 233882 mcs10 rand 30
mcs10_r005_s30.A63 473.510620 142.455200 426573 mcs10 rand 30
mcs10_r005_s30.A64 184.691376 35.351513 1144488 mcs10 rand 30
mcs10_r005_s30.A65 514.285828 224.933914 105685 mcs10 rand 30
mcs10_r005_s30.A66 441.308594 95.323456 1167704 mcs10 rand 30
mcs10_r005_s30.A67 147.354996 58.247463 566609 mcs10 rand 30
mcs10_r005_s30.A68 902.969360 277.090118 1108781 mcs10 rand 30
mcs10_r005_s30.A69 838.941895 121.784950 882575 mcs10 rand 30
mcs10_r005_s30.A70 514.515259 104.239372 489674 mcs10 rand 30
mcs10_r005_s30.A71 693.718994 187.597183 53706 mcs10 rand 30
mcs10_r005_s30.A72 142.566010 36.228489 907115 mcs10 rand 30
mcs10_r005_s30.A73 316.949005 82.018158 200176 mcs10 rand 30
mcs10_r005_s30.A74 262.978729 84.538818 80906 mcs10 rand 30
mcs10_r005_s30.A75 167.589279 46.261318 350270 mcs10 rand 30
mcs10_r005_s30.A76 217.582947 27.647234 333132 mcs10 rand 30
mcs10_r005_s30.A77 137.250137 31.657047 602853 mcs10 rand 30
mcs10_r005_s30.A78 598.420349 116.462547 1678406 mcs10 rand 30
mcs10_r005_s30.A79 360.300415 65.147156 1081418 mcs10 rand 30
mcs10_r005_s30.A80 320.030975 71.847359 218974 mcs10 rand 30
mcs10_r005_s30.A81 695.522278 191.156143 196980 mcs10 rand 30
mcs10_r005_s30.A82 173.004486 45.850647 577976 mcs10 rand 30
mcs10_r005_s30.A83 107.308022 23.326012 319226 mcs10 rand 30
mcs10_r005_s30.A84 189.889603 39.521042 816747 mcs10 rand 30
mcs10_r005_s30.A85 287.300446 57.561214 253466 mcs10 rand 30
mcs10_r005_s30.A86 406.209229 50.022297 2468084 mcs10 rand 30
mcs10_r005_s30.A87 300.019135 79.000641 666292 mcs10 rand 30
mcs10_r005_s30.A88 27.705496 7.070503 68979 mcs10 rand 30
mcs10_r005_s30.A89 82.943169 20.339056 89965 mcs10 rand 30
mcs10_r005_s30.A90 3306.986572 1112.954834 509088 mcs10 rand 30
mcs10_r005_s30.A91 298.228363 49.164555 707932 mcs10 rand 30
mcs10_r005_s30.A92 448.883667 67.909912 183043 mcs10 rand 30
mcs10_r005_s30.A93 234.260422 55.843357 782130 mcs10 rand 30
mcs10_r005_s30.A94 517.073059 175.078705 280075 mcs10 rand 30
mcs10_r005_s30.A95 1017.234558 214.870178 1948300 mcs10 rand 30
mcs10_r005_s30.A96 72.672691 14.447185 199094 mcs10 rand 30
mcs10_r005_s30.A97 1378.365234 381.014191 343901 mcs10 rand 30
mcs10_r005_s30.A98 164.759369 49.818527 421108 mcs10 rand 30
mcs10_r005_s30.A99 299.553223 55.786232 575363 mcs10 rand 30
mcs10_r005_s35.A00 3600.000244 1277.323364 3600000 mcs10 rand 35
mcs10_r005_s35.A01 3600.000000 581.907288 3600000 mcs10 rand 35
mcs10_r005_s35.A02 3600.000732 1113.002197 3600000 mcs10 rand 35
mcs10_r005_s35.A03 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A04 3600.000244 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A05 708.486145 153.435349 3600000 mcs10 rand 35
mcs10_r005_s35.A06 3600.000244 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A07 3600.000000 3558.305176 3600000 mcs10 rand 35
mcs10_r005_s35.A08 3600.000732 1726.180420 3600000 mcs10 rand 35
mcs10_r005_s35.A09 3600.000000 2142.946777 3600000 mcs10 rand 35
mcs10_r005_s35.A10 3600.000000 2623.955811 3600000 mcs10 rand 35
mcs10_r005_s35.A11 3600.000244 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A12 3600.000000 1330.847534 3600000 mcs10 rand 35
mcs10_r005_s35.A13 3600.000488 1713.084961 3600000 mcs10 rand 35
mcs10_r005_s35.A14 3600.000244 2779.081543 3600000 mcs10 rand 35
mcs10_r005_s35.A15 3600.000488 595.294922 3600000 mcs10 rand 35
mcs10_r005_s35.A16 3600.000488 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A17 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A18 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A19 3600.000000 3363.225098 3600000 mcs10 rand 35
mcs10_r005_s35.A20 1184.772949 235.778503 3600000 mcs10 rand 35
mcs10_r005_s35.A21 1709.774902 320.667816 3600000 mcs10 rand 35
mcs10_r005_s35.A22 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A23 2803.353027 635.160950 3600000 mcs10 rand 35
mcs10_r005_s35.A24 3600.000000 1260.662964 3600000 mcs10 rand 35
mcs10_r005_s35.A25 3600.000488 1562.924438 3600000 mcs10 rand 35
mcs10_r005_s35.A26 3600.000244 1724.685181 3600000 mcs10 rand 35
mcs10_r005_s35.A27 3600.000244 641.182800 3600000 mcs10 rand 35
mcs10_r005_s35.A28 3276.709229 472.601379 3600000 mcs10 rand 35
mcs10_r005_s35.A29 3600.000000 1217.155762 3600000 mcs10 rand 35
mcs10_r005_s35.A30 3600.000000 3600.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A31 3600.000000 1455.010864 3600000 mcs10 rand 35
mcs10_r005_s35.A32 3600.000732 1339.005371 3600000 mcs10 rand 35
mcs10_r005_s35.A33 3600.001709 1542.000000 3600000 mcs10 rand 35
mcs10_r005_s35.A34 3600.000244 2579.233398 3600000 mcs10 rand 35
mcs10_r005_s35.A35 3600.000488 1526.357544 3600000 mcs10 rand 35
mcs10_r005_s35.A36 3600.000244 3600.000000 3600000 mcs10 rand 35
